Country,Region,Child mortality,GDP per capita,Years
Niger,Africa,14.799152625,1402.7333083333333,2000-2023
Nigeria,Africa,13.7093343125,5044.301054166667,2000-2023
North Macedonia,Europe,1.05417804875,17394.023375,2000-2023
Norway,Europe,0.32745393208333334,84957.74104166667,2000-2023
Oman,Asia,1.2051490166666665,41620.46620833333,2000-2023
Pakistan,Asia,8.307390133333334,4477.073358333333,2000-2023
Palau,Oceania,2.217696183333333,17513.518541666668,2000-2023
Palestine,Asia,2.1879053083333333,5331.3214333333335,2000-2023
Panama,Americas,1.881868225,24627.746416666665,2000-2023
Papua New Guinea,Oceania,5.64807515,3663.4872250000003,2000-2023
Paraguay,Americas,2.4994893291666664,12851.605541666666,2000-2023
Peru,Americas,2.202178941666667,12194.127166666667,2000-2023
Philippines,Asia,3.0261027541666667,6942.884308333333,2000-2023
Poland,Europe,0.6058639545833333,29719.596166666666,2000-2023
Portugal,Europe,0.4202780104166666,37069.418,2000-2023
Qatar,Asia,0.8814729554166667,114585.11054166667,2000-2023
Romania,Europe,1.2514047804166666,27522.449666666667,2000-2023
Russia,Europe,1.0427399654166667,32699.611125,2000-2023
Rwanda,Africa,7.708563716666667,1937.9145291666666,2000-2023
Samoa,Oceania,1.90505465,6126.685341666666,2000-2023
Sao Tome and Principe,Africa,3.764952708333333,4945.5039375,2000-2023
Saudi Arabia,Asia,1.22078203,51958.349375,2000-2023
Senegal,Africa,6.877091833333334,3558.3541458333334,2000-2023
Serbia,Europe,0.7677493720833333,18124.12854166667,2000-2023
Seychelles,Africa,1.4219517249999998,25017.512958333333,2000-2023
Sierra Leone,Africa,15.392252124999999,2491.1115875,2000-2023
Singapore,Asia,0.28008616708333334,98574.56616666667,2000-2023
Slovakia,Europe,0.7126048141666667,29912.923791666664,2000-2023
Slovenia,Europe,0.33291795875,39096.845916666665,2000-2023
Solomon Islands,Oceania,2.6230356041666667,2489.5172583333333,2000-2023
Somalia,Africa,16.070784354166666,1110.5666079166667,2000-2023
South Africa,Africa,5.2871620625,13618.857333333333,2000-2023
South Korea,Asia,0.44065643625,38599.28625,2000-2023
Spain,Europe,0.39266428833333333,43267.624083333336,2000-2023
Sri Lanka,Asia,1.1726572704166667,10728.843083333333,2000-2023
St. Kitts and Nevis,Americas,1.9321452375000001,25715.389750000002,2000-2023
St. Lucia,Americas,1.7503355333333335,20674.813833333334,2000-2023
St. Vincent and the Grenadines,Americas,1.8465826541666666,13782.9285,2000-2023
Sudan,Africa,7.424891345833333,3910.086454166667,2000-2023
Suriname,Americas,2.2786538916666665,20729.432,2000-2023
Sweden,Europe,0.3135265166666667,56687.00770833334,2000-2023
Switzerland,Europe,0.45894948416666664,75267.26920833332,2000-2023
Tajikistan,Asia,4.124686654166667,2727.2643916666666,2000-2023
Tanzania,Africa,7.104216579166667,2785.1994458333334,2000-2023
Thailand,Asia,1.4145263304166666,17107.195958333334,2000-2023
Timor-Leste,Asia,7.2381423125,4236.0941041666665,2000-2023
Togo,Africa,8.600728529166666,2215.371475,2000-2023
Trinidad and Tobago,Americas,2.4071273416666665,32262.99545833333,2000-2023
Tunisia,Africa,1.9496359791666666,11699.733041666666,2000-2023
Turkmenistan,Asia,4.78939005,10553.754116666667,2000-2023
Tuvalu,Oceania,3.0508572666666667,4168.9183,2000-2023
Türkiye,Asia,1.90055905,22828.707208333333,2000-2023
Uganda,Africa,7.801806258333333,2235.3489916666667,2000-2023
Ukraine,Europe,1.1738031083333333,15923.882208333334,2000-2023
United Arab Emirates,Asia,0.8226190637499999,75948.25916666667,2000-2023
United Kingdom,Europe,0.5177037370833334,50355.49379166667,2000-2023
United States,Americas,0.7251730816666666,62825.14870833334,2000-2023
Uruguay,Americas,1.0956707720833332,24818.151541666666,2000-2023
Uzbekistan,Asia,3.1050904833333335,6350.896208333333,2000-2023
Vanuatu,Oceania,2.1082158916666667,3258.2550583333336,2000-2023
Vietnam,Asia,2.3397202875,8260.838825,2000-2023
Zambia,Africa,8.149604904166667,3126.2338958333335,2000-2023
Zimbabwe,Africa,7.296595745833333,3120.5875041666663,2000-2023
