date,entity,entity_name,variable,unit,value_gov,iso3_code,value_us_aid,share
2022,country/NIU,Niue,ONE/who_che-gghed,USD,1721640.506329114,NIU,23469.972705542987,1.363
2022,country/NPL,Nepal,ONE/who_che-gghed,USD,829904568.5507674,NPL,43523827.89569933,5.244
2022,country/NRU,Nauru,ONE/who_che-gghed,USD,23220094.50104638,NRU,22483.71370957799,0.097
2022,country/PAK,Pakistan,ONE/who_che-gghed,USD,3604172517.3006783,PAK,214494263.1073312,5.951
2022,country/PAN,Panama,ONE/who_che-gghed,USD,3640757211.17,PAN,3459384.322763952,0.095
2022,country/PER,Peru,ONE/who_che-gghed,USD,9580410446.984938,PER,8364807.082978669,0.087
2023,country/PHL,Philippines,ONE/who_che-gghed,USD,9451752651.447062,PHL,47746866.7541573,0.505
2022,country/PLW,Palau,ONE/who_che-gghed,USD,14259227.730000002,PLW,31828.583953074703,0.223
2022,country/PNG,Papua New Guinea,ONE/who_che-gghed,USD,484290665.98213047,PNG,22935934.23370342,4.736
2022,country/PRY,Paraguay,ONE/who_che-gghed,USD,1713581144.1048532,PRY,2928879.9429349448,0.171
2022,country/RWA,Rwanda,ONE/who_che-gghed,USD,374056921.8904815,RWA,83856398.93308058,22.418
2022,country/SDN,Sudan,ONE/who_che-gghed,USD,401475470.6041187,SDN,69744652.57856964,17.372
2022,country/SEN,Senegal,ONE/who_che-gghed,USD,248055480.73761344,SEN,52349165.25174866,21.104
2022,country/SLB,Solomon Islands,ONE/who_che-gghed,USD,52030118.29263749,SLB,2290158.0183930844,4.402
2022,country/SLE,Sierra Leone,ONE/who_che-gghed,USD,61947390.53696539,SLE,35372725.097616814,57.101
2022,country/SLV,El Salvador,ONE/who_che-gghed,USD,1958136367.9399996,SLV,7055174.979938902,0.36
2022,country/SOM,Somalia,ONE/who_che-gghed,USD,17990807.089999996,SOM,28214267.367363352,156.826
2022,country/SRB,Serbia,ONE/who_che-gghed,USD,3784343606.4479303,SRB,2074034.226027903,0.055
2022,country/SSD,South Sudan,ONE/who_che-gghed,USD,46744679.933147006,SSD,57501188.091256015,123.011
2022,country/STP,São Tomé and Príncipe,ONE/who_che-gghed,USD,22551725.04897666,STP,2535146.9617417823,11.241
2022,country/SUR,Suriname,ONE/who_che-gghed,USD,140353141.19572,SUR,917161.9535729801,0.653
2022,country/SWZ,Eswatini,ONE/who_che-gghed,USD,155413448.5190846,SWZ,27814791.5780766,17.897
2022,country/SYR,Syria,ONE/who_che-gghed,USD,261430607.49064735,SYR,5480321.661559388,2.096
2022,country/TCD,Chad,ONE/who_che-gghed,USD,165072545.77329054,TCD,32840464.16925457,19.895
2022,country/TGO,Togo,ONE/who_che-gghed,USD,54069356.88619654,TGO,28802340.536025,53.269
